Gender;age;Marital;Education;Religion;Occupation;Affordability;Eligibility;Working;NonWorking;Member;Ratio;MoreIncome;Worthy;Compliance;IDRIncome;USDIncome;Transportation;Comfort;TravelTime;BetterLife;Interaction;Parenting;SelfCare;Famil;Wellbeing;Stress;CommuteTime;Satisfaction
1;30;1;3;1;1;4;4;1;1;2;200;4;4;4;2500000;17857;4;4;5;4;3;4;4;4;3;3;3;Sangat Tidak Puas
1;40;1;3;1;5;4;5;2;2;4;200;4;4;5;1200000;8571;4;5;4;4;3;4;4;5;4;4;5;Sangat Tidak Puas
1;38;1;3;1;5;4;4;1;2;3;300;3;4;5;1600000;11429;4;4;5;5;4;4;3;3;3;3;4;Sangat Tidak Puas
1;27;2;3;1;5;5;4;2;2;4;200;4;4;5;1500000;10714;4;5;4;4;5;5;4;3;4;5;4;Sangat Tidak Puas
2;28;2;3;1;5;5;5;3;2;5;167;5;4;5;1200000;8571;4;5;4;4;4;5;3;4;5;5;4;Sangat Tidak Puas
1;37;1;2;1;5;4;4;1;2;3;300;4;4;5;2000000;14286;4;4;5;4;3;4;5;4;4;5;4;Sangat Tidak Puas
1;25;2;3;1;5;4;4;1;3;4;400;4;4;5;1500000;10714;4;4;5;4;4;3;4;3;4;4;5;Sangat Tidak Puas
2;27;2;3;1;3;3;4;3;1;4;133;4;4;5;2000000;14286;4;4;3;4;4;5;5;4;3;4;3;Sangat Tidak Puas
1;40;1;3;1;3;3;5;2;2;4;200;4;4;5;1800000;12857;4;4;3;4;4;3;5;4;4;3;5;Sangat Tidak Puas
1;27;2;3;1;5;4;4;2;2;4;200;4;5;5;1500000;10714;4;4;5;3;4;3;3;4;3;4;4;Biasa
1;45;1;2;1;5;3;4;2;3;5;250;3;4;5;1800000;12857;3;4;4;3;4;4;3;4;4;3;4;Biasa
1;38;1;3;1;3;3;5;1;3;4;400;3;4;4;1600000;11429;4;4;4;4;3;4;5;4;4;5;5;Sangat Tidak Puas
1;25;2;3;1;5;3;5;2;2;4;200;3;4;5;1200000;8571;4;4;5;4;4;3;4;5;3;4;4;Sangat Tidak Puas
2;30;1;3;1;5;2;4;2;1;3;150;4;4;4;1500000;10714;4;4;4;4;4;4;4;4;4;3;3;Sangat Tidak Puas
1;28;2;3;1;5;3;4;2;3;5;250;4;4;3;1500000;10714;4;4;4;4;3;4;4;4;4;3;4;Sangat Tidak Puas
1;38;1;3;1;5;3;4;1;2;3;300;4;4;5;1600000;11429;4;4;5;4;4;5;4;4;3;4;4;Sangat Tidak Puas
1;39;1;3;1;5;4;4;1;2;3;300;4;4;4;1800000;12857;4;4;5;4;4;3;4;4;3;4;4;Sangat Tidak Puas
1;40;1;2;1;5;3;4;2;2;4;200;3;4;4;2000000;14286;4;4;4;4;4;3;4;5;4;4;5;Sangat Tidak Puas
1;40;1;3;1;2;3;5;1;3;4;400;3;4;5;3000000;21429;4;4;3;4;4;3;4;5;4;4;4;Sangat Tidak Puas
1;38;1;3;1;5;3;4;1;2;3;300;3;4;5;1600000;11429;4;4;5;4;3;4;5;4;4;3;3;Sangat Tidak Puas
1;38;1;2;1;4;5;5;1;3;4;400;4;5;5;2500000;17857;5;5;5;2;3;4;4;3;4;3;3;Sangat Puas
1;45;1;3;1;1;2;5;4;1;5;125;4;4;5;3000000;21429;5;5;4;5;4;4;5;3;4;5;5;Sangat Tidak Puas
1;36;1;3;1;3;4;4;2;3;5;250;4;5;5;1200000;8571;4;5;4;4;5;5;4;4;5;5;4;Sangat Tidak Puas
1;20;2;3;1;3;5;4;2;1;3;150;4;3;5;1200000;8571;5;4;4;4;4;5;5;4;5;4;3;Sangat Tidak Puas
1;28;2;3;1;5;4;5;2;2;4;200;3;5;5;1500000;10714;4;5;4;4;3;4;5;5;4;4;3;Sangat Tidak Puas
1;23;1;3;1;5;3;5;1;2;3;300;3;4;5;1500000;10714;4;4;5;4;3;3;4;4;5;4;4;Sangat Tidak Puas
1;23;1;3;2;3;4;5;1;1;2;200;4;4;4;2500000;17857;5;4;5;4;5;5;5;4;5;4;4;Sangat Tidak Puas
1;23;2;3;1;5;5;3;1;0;1;100;4;3;2;1800000;12857;4;3;3;4;3;4;2;4;2;4;2;Sangat Tidak Puas
1;43;1;3;1;3;4;5;3;1;4;133;4;4;4;2000000;14286;4;3;4;4;4;5;4;5;4;4;4;Sangat Tidak Puas
1;36;3;3;1;3;4;5;1;1;2;200;4;4;3;3500000;25000;4;4;5;4;4;5;5;5;4;5;4;Sangat Tidak Puas
1;28;2;4;1;5;4;5;1;0;1;100;4;4;5;1700000;12143;4;4;5;4;4;4;5;5;4;5;4;Sangat Tidak Puas
2;26;1;5;1;1;4;4;2;1;3;150;4;4;4;5000000;35714;4;4;4;4;3;3;3;3;3;2;3;Sangat Tidak Puas
1;39;1;3;1;5;4;3;2;2;4;200;4;4;4;2000000;14286;4;3;2;5;3;2;2;4;3;4;2;Sangat Tidak Puas
1;27;2;4;1;3;4;4;1;0;1;100;4;4;4;3000000;21429;4;4;4;4;3;3;3;3;3;2;3;Sangat Tidak Puas
1;32;1;4;1;3;4;5;2;2;4;200;4;4;5;1500000;10714;5;4;4;3;4;4;5;4;5;4;4;Biasa
2;29;1;3;3;5;4;3;2;1;3;150;4;4;5;1500000;10714;4;4;5;4;4;5;4;4;5;4;4;Sangat Tidak Puas
1;28;1;3;1;3;4;4;2;1;3;150;4;4;5;2000000;14286;4;4;5;4;4;4;5;3;4;5;4;Sangat Tidak Puas
1;30;1;3;1;5;4;5;2;2;4;200;4;4;5;1000000;7143;4;4;3;4;4;5;4;5;4;5;4;Sangat Tidak Puas
2;23;1;4;1;3;4;5;2;0;2;100;5;4;5;2800000;20000;4;4;4;4;4;4;4;4;5;4;5;Sangat Tidak Puas
1;23;2;3;1;5;4;5;1;0;1;100;4;2;4;1500000;10714;4;3;3;3;3;4;3;3;4;3;4;Biasa
1;25;1;3;1;5;5;4;1;2;3;300;5;4;4;2500000;17857;4;4;3;5;4;4;4;5;4;3;4;Sangat Tidak Puas
2;23;2;5;1;1;4;5;1;0;1;100;4;3;4;2500000;17857;4;4;3;4;3;3;3;4;3;4;4;Sangat Tidak Puas
1;45;1;3;1;4;5;4;2;3;5;250;5;4;4;4000000;28571;4;3;4;4;4;4;4;4;4;4;4;Sangat Tidak Puas
1;22;2;3;1;2;4;4;1;0;1;100;4;4;4;2800000;20000;4;4;4;4;4;3;4;3;3;2;3;Sangat Tidak Puas
2;35;1;5;1;4;5;5;2;3;5;250;4;3;4;7000000;50000;4;4;3;3;3;2;2;2;4;3;4;Biasa
1;36;1;5;1;4;5;5;2;3;5;250;4;3;4;7000000;50000;4;4;3;3;3;2;2;2;4;3;4;Biasa
1;40;1;2;1;3;4;4;1;4;5;500;3;3;4;3000000;21429;3;3;3;3;3;3;3;4;3;3;3;Biasa
1;38;1;5;1;4;4;4;1;3;4;400;4;4;4;3500000;25000;4;4;4;3;3;3;3;3;4;3;3;Biasa
1;35;1;5;1;3;4;4;1;2;3;300;3;3;3;2000000;14286;4;3;3;3;4;4;3;3;3;3;3;Biasa
2;27;1;3;1;5;4;5;2;2;4;200;5;5;4;2500000;17857;4;4;4;4;5;4;4;5;4;4;4;Sangat Tidak Puas
1;50;1;1;1;5;3;4;1;3;4;400;3;3;2;3500000;25000;3;3;3;3;3;3;3;3;3;4;4;Biasa
1;28;1;3;1;4;4;4;1;2;3;300;3;3;3;3000000;21429;3;3;3;3;3;3;3;3;4;3;3;Biasa
1;31;1;2;1;5;3;3;2;0;2;100;3;3;2;1700000;12143;3;2;3;3;3;3;3;3;4;4;3;Biasa
1;45;1;3;1;3;3;3;1;4;5;500;3;3;4;3000000;21429;3;3;3;3;3;3;3;3;3;4;4;Biasa
1;45;1;3;1;3;4;4;2;2;4;200;3;4;4;4000000;28571;4;4;4;3;2;2;2;2;2;3;4;Biasa
1;27;1;3;1;5;5;4;1;2;3;300;5;4;3;2300000;16429;5;4;5;4;4;5;5;4;4;4;4;Sangat Tidak Puas
2;34;1;3;1;5;4;3;2;2;4;200;4;3;3;2000000;14286;4;3;2;3;4;2;2;3;4;4;2;Biasa
2;40;1;3;2;4;2;3;2;3;5;250;3;3;4;4000000;28571;3;4;4;4;3;1;3;1;3;3;3;Sangat Tidak Puas
1;27;1;4;1;3;4;4;2;0;2;100;4;4;4;2500000;17857;4;4;4;4;3;3;3;3;3;2;4;Sangat Tidak Puas
2;29;1;4;1;3;5;4;2;2;4;200;5;4;4;2200000;15714;5;4;5;4;5;4;5;4;4;4;4;Sangat Tidak Puas
1;39;1;3;1;3;4;4;2;2;4;200;3;4;4;3000000;21429;4;5;4;4;3;2;3;2;3;2;3;Sangat Tidak Puas
1;27;1;5;1;3;4;5;1;1;2;200;4;3;4;2000000;14286;4;4;3;4;4;4;4;5;4;5;4;Sangat Tidak Puas
2;22;2;3;1;3;4;5;1;0;1;100;3;4;4;2500000;17857;4;4;3;4;2;3;3;3;2;3;2;Sangat Tidak Puas
2;31;2;5;2;3;5;4;1;0;1;100;4;4;5;5000000;35714;4;4;5;4;4;3;4;3;5;3;4;Sangat Tidak Puas
2;23;2;3;1;3;4;4;1;0;1;100;4;4;4;2000000;14286;4;4;4;4;4;4;4;3;3;2;3;Sangat Tidak Puas
1;50;1;4;1;1;4;3;1;4;5;500;4;4;4;4000000;28571;3;3;3;3;3;3;3;3;4;3;3;Biasa
1;47;1;3;2;4;2;4;2;3;5;250;3;3;4;4000000;28571;3;4;4;4;3;1;3;1;3;3;3;Sangat Tidak Puas
2;28;1;4;1;3;4;5;2;1;3;150;4;4;2;2000000;14286;4;3;4;4;3;4;4;4;4;4;3;Sangat Tidak Puas
1;24;2;3;1;5;3;3;3;3;6;200;3;4;4;1800000;12857;4;4;5;3;4;4;3;4;4;4;3;Biasa
1;45;1;2;1;5;4;4;3;3;6;200;3;4;4;1600000;11429;4;4;5;3;3;4;4;3;4;5;4;Biasa
1;29;1;3;1;5;4;4;2;3;5;250;3;3;4;1800000;12857;4;4;5;3;4;4;3;4;4;3;4;Biasa
1;23;2;3;1;5;4;4;2;3;5;250;3;4;4;1500000;10714;4;4;4;3;4;4;3;3;4;4;3;Biasa
1;32;1;2;1;5;4;4;1;2;3;300;3;3;4;1800000;12857;5;5;4;3;4;4;3;4;4;3;4;Biasa
1;24;2;3;1;5;3;3;2;2;4;200;3;4;4;1500000;10714;4;4;5;3;3;4;4;3;3;3;4;Biasa
1;25;2;3;1;5;3;3;3;1;4;133;3;4;4;1500000;10714;4;4;4;3;3;4;3;3;4;3;4;Biasa
1;30;2;3;1;5;4;4;2;2;4;200;3;3;4;1500000;10714;4;4;3;3;3;4;4;5;4;3;3;Biasa
1;23;2;3;1;5;3;4;2;1;3;150;3;4;4;1400000;10000;4;4;5;3;4;4;3;4;4;3;4;Biasa
1;23;2;3;1;5;3;4;2;3;5;250;3;4;4;1200000;8571;4;4;4;3;4;3;3;4;4;3;4;Biasa
1;30;1;3;1;5;3;3;2;2;4;200;4;4;3;1800000;12857;4;4;4;3;3;4;3;4;4;3;4;Biasa
1;25;1;3;1;3;3;4;2;2;4;200;3;3;4;1800000;12857;4;4;4;3;3;4;4;3;4;4;4;Biasa
2;28;1;3;1;5;3;5;2;1;3;150;3;4;5;1200000;8571;4;4;4;3;3;4;3;3;4;4;3;Biasa
1;40;1;2;1;5;3;4;2;2;4;200;3;3;4;1800000;12857;4;4;4;3;3;3;4;4;3;3;4;Biasa
1;23;2;3;1;5;3;4;2;2;4;200;3;4;4;1600000;11429;3;4;4;3;3;4;5;4;3;4;3;Biasa
1;28;1;3;1;2;3;3;1;2;3;300;3;3;4;3000000;21429;3;4;4;3;3;4;3;3;4;3;4;Biasa
1;29;2;3;1;3;4;3;2;3;5;250;3;4;3;1800000;12857;4;4;3;3;3;3;3;4;3;3;3;Biasa
1;29;2;3;1;5;3;3;2;2;4;200;3;4;4;1500000;10714;4;4;3;3;4;4;3;3;4;3;3;Biasa
1;31;1;3;1;5;3;3;2;1;3;150;4;4;3;1400000;10000;3;3;4;3;3;4;4;4;3;3;4;Biasa
2;25;2;3;1;5;3;4;2;2;4;200;4;4;5;1600000;11429;4;4;3;3;4;4;4;3;3;4;3;Biasa
1;29;2;3;1;5;3;4;3;2;5;167;3;3;4;2000000;14286;3;3;4;3;3;4;4;3;3;4;4;Biasa
1;30;2;3;1;5;3;3;3;2;5;167;3;3;4;2500000;17857;4;4;3;3;3;4;4;3;3;3;3;Biasa
1;40;1;2;1;5;3;3;2;2;4;200;4;4;3;2000000;14286;4;4;3;3;3;4;4;3;3;3;4;Biasa
1;35;1;3;1;1;3;3;2;2;4;200;3;4;4;2500000;17857;3;3;4;3;3;3;4;4;3;4;4;Biasa
1;36;1;3;1;3;4;4;3;2;5;167;4;4;4;1800000;12857;4;4;4;4;3;2;3;2;3;4;4;Sangat Tidak Puas
2;34;1;5;1;1;4;4;2;2;4;200;4;4;4;2500000;17857;4;3;4;4;2;3;3;2;3;4;4;Sangat Tidak Puas
1;35;1;3;1;3;4;4;2;1;3;150;4;4;3;1500000;10714;4;3;4;5;2;3;4;3;3;4;4;Sangat Tidak Puas
1;38;1;5;1;2;4;4;1;4;5;500;4;4;4;3000000;21429;4;4;5;5;2;3;3;2;3;4;4;Sangat Tidak Puas
1;35;1;5;1;1;4;4;2;2;4;200;4;4;4;2500000;17857;4;3;4;4;2;3;3;2;3;2;2;Sangat Tidak Puas
1;38;1;3;1;4;4;4;1;3;4;400;4;4;4;1700000;12143;4;4;3;4;4;3;4;3;4;4;5;Sangat Tidak Puas
1;39;1;2;1;4;4;4;1;3;4;400;4;4;4;1800000;12857;4;4;4;4;4;3;4;3;4;4;5;Sangat Tidak Puas
1;40;1;2;1;3;4;4;1;2;3;300;4;4;3;2500000;17857;4;3;4;4;3;3;4;3;2;2;4;Sangat Tidak Puas
1;36;1;3;1;3;5;5;1;4;5;500;5;4;4;2500000;17857;4;4;4;4;4;4;3;4;4;4;4;Sangat Tidak Puas
1;38;1;3;1;5;4;4;3;3;6;200;4;4;4;2000000;14286;4;4;4;4;4;4;4;4;4;4;4;Sangat Tidak Puas
1;38;2;3;1;3;4;4;1;1;2;200;4;4;4;3000000;21429;4;4;4;4;4;3;3;3;4;4;4;Sangat Tidak Puas
1;46;1;3;1;3;4;4;4;0;4;100;4;4;4;2000000;14286;4;4;4;2;3;2;2;2;2;2;2;Sangat Puas
1;30;1;3;1;3;4;4;1;1;2;200;4;4;4;2000000;14286;4;4;4;4;4;3;4;4;4;3;4;Sangat Tidak Puas
1;37;1;3;1;3;3;3;1;4;5;500;4;3;2;1600000;11429;4;3;4;4;3;4;4;4;4;4;4;Sangat Tidak Puas
1;46;1;3;1;4;4;4;3;2;5;167;4;4;4;3000000;21429;4;4;4;2;2;2;2;2;2;4;4;Sangat Puas
1;56;1;3;1;1;4;4;3;3;6;200;4;4;4;3300000;23571;4;4;4;2;2;2;2;2;2;2;2;Sangat Puas
2;30;1;5;1;5;4;5;2;3;5;250;2;3;2;2000000;14286;4;4;4;3;2;2;3;3;2;2;2;Biasa
1;50;1;3;1;1;4;4;1;1;2;200;4;4;4;2800000;20000;3;2;1;3;2;1;1;1;2;1;1;Biasa
2;48;1;5;1;1;4;5;3;3;6;200;3;3;3;3300000;23571;4;3;4;5;2;3;3;4;2;4;4;Sangat Tidak Puas
1;30;1;3;1;3;4;3;1;2;3;300;4;3;3;1600000;11429;5;3;3;5;4;4;4;4;3;4;3;Sangat Tidak Puas
1;35;1;5;1;3;4;4;1;4;5;500;4;4;4;2000000;14286;4;3;5;4;3;2;4;3;2;4;4;Sangat Tidak Puas
1;25;1;3;1;3;4;4;1;1;2;200;3;3;3;1300000;9286;3;4;3;3;3;3;4;4;3;4;2;Biasa
1;25;1;3;1;3;3;5;2;0;2;100;3;3;3;1550000;11071;4;4;3;1;1;1;1;1;1;1;1;Sangat Puas
1;56;1;3;1;4;5;5;1;1;2;200;4;4;3;800000;5714;4;4;4;3;4;3;3;3;4;3;3;Biasa
1;53;1;1;1;4;4;4;1;1;2;200;4;4;4;850000;6071;4;4;4;2;2;2;2;2;4;2;2;Sangat Puas
2;23;2;4;1;3;2;3;2;1;3;150;4;4;3;1500000;10714;4;3;4;4;3;2;2;2;2;3;3;Sangat Tidak Puas
1;21;2;3;1;3;3;3;3;3;6;200;3;3;3;720000;5143;3;3;3;3;3;2;3;2;2;3;3;Biasa
1;35;1;5;1;5;4;4;1;3;4;400;3;3;3;5000000;35714;4;3;3;4;3;3;2;2;3;4;5;Sangat Tidak Puas
1;30;1;5;1;3;4;4;1;2;3;300;4;4;4;2500000;17857;4;4;3;4;3;2;2;2;3;4;4;Sangat Tidak Puas
1;37;1;2;1;4;4;3;1;2;3;300;4;4;3;1500000;10714;4;3;3;4;2;3;3;2;3;4;4;Sangat Tidak Puas
1;38;1;2;1;4;4;4;2;2;4;200;4;4;3;1800000;12857;4;4;3;4;3;3;3;3;3;4;4;Sangat Tidak Puas
1;40;1;5;1;1;4;4;2;1;3;150;4;4;4;2500000;17857;4;3;3;4;3;3;2;2;3;2;3;Sangat Tidak Puas
1;38;1;3;1;5;4;4;2;3;5;250;4;3;4;1400000;10000;4;4;3;4;3;3;2;2;3;4;4;Sangat Tidak Puas
1;37;1;2;1;4;4;4;1;3;4;400;4;3;4;1700000;12143;4;4;4;4;4;3;3;3;4;4;4;Sangat Tidak Puas
1;38;1;2;1;4;4;3;1;3;4;400;4;4;3;1400000;10000;4;4;3;4;4;2;3;2;3;4;4;Sangat Tidak Puas
1;38;1;1;1;4;4;4;3;5;8;267;4;4;4;8000000;57143;4;4;3;4;2;2;2;2;3;4;5;Sangat Tidak Puas
1;35;1;4;1;4;4;4;2;2;4;200;4;4;3;2500000;17857;4;4;4;2;2;2;2;2;2;4;4;Sangat Puas
1;29;1;2;1;4;5;4;1;3;4;400;5;5;5;1700000;12143;3;3;3;5;2;2;4;1;1;1;1;Sangat Tidak Puas
1;27;1;3;1;5;4;4;2;0;2;100;3;3;3;4000000;28571;3;3;3;3;2;2;3;2;3;3;3;Biasa
1;28;1;3;1;3;3;3;5;1;6;120;3;3;3;1400000;10000;3;3;3;3;3;3;3;3;3;3;3;Biasa
1;37;1;3;1;4;4;3;2;3;5;250;4;4;2;2000000;14286;4;4;4;4;4;4;2;2;4;2;3;Sangat Tidak Puas
1;42;1;1;1;3;4;3;1;4;5;500;2;2;3;1500000;10714;3;3;4;3;4;5;3;3;3;3;2;Biasa
1;34;1;3;1;4;4;4;1;3;4;400;3;3;3;1800000;12857;4;4;4;5;4;2;2;2;2;4;2;Sangat Tidak Puas
2;18;2;3;1;3;4;4;1;0;1;100;4;4;2;1000000;7143;4;4;4;4;5;2;4;4;4;5;3;Sangat Tidak Puas
2;30;1;5;1;4;4;4;2;2;4;200;3;3;3;2500000;17857;4;4;4;3;3;3;3;3;4;4;4;Biasa
1;24;2;3;1;3;5;5;2;2;4;200;4;4;4;2000000;14286;4;4;4;2;2;2;2;2;2;4;4;Sangat Puas
1;27;1;3;1;4;4;4;1;1;2;200;2;3;2;2500000;17857;3;3;3;2;2;2;2;2;4;4;4;Sangat Puas
2;40;4;2;1;5;3;3;1;1;2;200;4;4;4;1200000;8571;4;4;4;5;3;3;3;3;3;3;3;Sangat Tidak Puas
1;25;2;3;1;5;4;4;2;2;4;200;4;4;4;2100000;15000;4;3;4;4;4;4;4;3;3;4;4;Sangat Tidak Puas
1;50;3;2;1;5;4;3;2;1;3;150;4;4;4;1900000;13571;4;4;4;4;3;3;3;3;3;3;4;Sangat Tidak Puas
2;40;4;2;1;5;4;4;1;2;3;300;4;4;4;950000;6786;4;4;4;4;3;3;3;3;3;3;3;Sangat Tidak Puas
1;30;1;3;1;5;4;4;1;1;2;200;4;4;4;1700000;12143;4;4;4;4;3;2;4;4;3;4;4;Sangat Tidak Puas
1;37;1;3;2;5;4;4;1;2;3;300;4;3;3;1600000;11429;5;5;5;4;4;3;3;4;4;2;2;Sangat Tidak Puas
1;39;1;3;1;5;2;4;1;3;4;400;4;4;2;1200000;8571;4;3;4;2;5;3;5;3;3;2;3;Sangat Puas
1;48;1;3;1;5;4;4;2;2;4;200;4;3;4;1100000;7857;4;4;4;4;4;4;4;3;3;3;3;Sangat Tidak Puas
1;22;2;3;1;5;4;4;1;2;3;300;3;3;3;1450000;10357;4;4;3;4;3;3;3;4;4;4;3;Sangat Tidak Puas
1;23;2;3;1;5;4;4;1;0;1;100;4;4;4;1200000;8571;4;4;4;4;4;4;4;4;4;4;4;Sangat Tidak Puas
1;48;1;3;3;3;4;4;1;2;3;300;4;4;4;2100000;15000;4;4;4;4;4;3;3;3;4;4;4;Sangat Tidak Puas
1;28;2;3;1;5;4;4;1;1;2;200;4;4;4;1400000;10000;4;3;4;4;3;3;3;3;4;4;3;Sangat Tidak Puas
2;40;4;1;1;5;4;4;1;0;1;100;4;4;4;800000;5714;4;4;4;4;3;3;3;3;3;3;3;Sangat Tidak Puas
2;24;2;5;1;1;4;4;2;1;3;150;4;4;4;4300000;30714;4;4;4;4;4;4;4;4;4;4;4;Sangat Tidak Puas
2;21;2;3;1;5;4;4;2;2;4;200;4;4;4;1100000;7857;4;4;4;4;4;4;3;3;3;4;4;Sangat Tidak Puas
1;27;2;3;1;5;4;4;2;1;3;150;4;4;4;1050000;7500;4;4;4;4;3;3;3;4;3;3;4;Sangat Tidak Puas
2;22;2;3;1;5;5;5;2;2;4;200;4;4;4;1100000;7857;4;4;4;4;3;3;3;3;3;4;4;Sangat Tidak Puas
1;19;2;3;1;5;4;4;2;4;6;300;4;4;4;1100000;7857;4;4;4;4;4;4;4;4;4;4;4;Sangat Tidak Puas
2;22;2;3;1;5;4;4;2;2;4;200;4;4;4;1200000;8571;4;4;4;4;4;4;4;4;3;3;3;Sangat Tidak Puas
1;42;1;3;1;3;4;4;1;4;5;500;4;4;4;1800000;12857;4;4;4;4;4;4;3;4;3;4;4;Sangat Tidak Puas
1;50;1;3;1;5;4;4;3;1;4;133;3;3;3;1400000;10000;4;4;4;4;4;3;3;3;4;3;4;Sangat Tidak Puas
2;27;2;5;1;3;4;4;2;2;4;200;4;4;4;2600000;18571;4;4;4;4;4;4;4;4;4;4;4;Sangat Tidak Puas
2;23;2;5;1;5;4;4;2;1;3;150;4;4;4;200000;1429;4;3;3;3;4;4;4;3;3;3;3;Biasa
1;24;2;3;2;5;4;4;3;2;5;167;4;4;4;1500000;10714;4;4;4;3;4;4;4;3;3;3;3;Biasa
1;24;2;4;1;3;4;4;2;3;5;250;4;4;3;1300000;9286;4;1;3;2;4;3;3;3;3;3;3;Sangat Puas
1;37;1;3;1;5;4;4;1;4;5;500;4;4;4;1500000;10714;4;4;4;1;2;2;2;2;2;1;1;Sangat Puas
2;40;4;1;1;5;3;4;1;1;2;200;4;4;4;800000;5714;3;3;4;2;4;2;3;3;4;4;3;Sangat Puas
1;36;1;5;1;3;4;4;1;1;2;200;4;4;4;2800000;20000;4;4;4;4;4;4;4;4;4;4;4;Sangat Tidak Puas
2;25;2;3;1;5;4;4;3;1;4;133;4;4;4;1300000;9286;3;3;3;4;3;3;3;3;3;3;3;Sangat Tidak Puas
2;23;2;5;1;3;4;4;1;2;3;300;4;4;4;1400000;10000;4;3;3;3;4;4;4;4;4;4;4;Biasa
1;22;2;2;1;5;4;4;2;1;3;150;4;4;3;1000000;7143;3;3;3;3;3;3;3;3;3;3;3;Biasa
1;38;1;3;2;3;4;4;1;1;2;200;5;5;4;2500000;17857;4;3;3;4;3;3;3;3;3;3;3;Sangat Tidak Puas
1;29;1;4;1;3;4;3;2;1;3;150;4;5;4;2000000;14286;4;4;3;4;4;5;4;4;3;3;4;Sangat Tidak Puas
1;35;1;3;1;1;4;4;1;4;5;500;4;4;3;2000000;14286;4;4;3;4;3;4;5;5;3;3;2;Sangat Tidak Puas
1;38;1;3;1;4;4;4;1;4;5;500;4;4;3;2000000;14286;4;4;3;4;1;1;2;2;2;3;3;Sangat Tidak Puas
1;45;1;3;1;1;4;3;2;3;5;250;4;4;4;2500000;17857;4;4;3;2;2;2;2;2;4;4;4;Sangat Puas
1;27;1;3;1;4;4;4;1;1;2;200;4;4;4;3000000;21429;4;4;4;3;2;2;2;2;2;4;4;Biasa
2;26;2;5;1;3;4;3;1;0;1;100;4;4;5;2500000;17857;4;5;4;4;4;5;3;2;4;3;4;Sangat Tidak Puas
2;28;1;5;1;1;4;3;2;1;3;150;4;4;5;1500000;10714;4;4;3;4;3;4;3;4;3;4;3;Sangat Tidak Puas
2;41;4;2;2;5;4;4;1;1;2;200;4;4;4;1000000;7143;4;3;3;4;4;3;3;3;3;4;3;Sangat Tidak Puas
1;36;1;3;1;5;4;4;1;3;4;400;4;3;3;1200000;8571;4;4;4;4;4;3;3;3;3;3;3;Sangat Tidak Puas
1;45;1;5;1;1;4;4;2;2;4;200;4;4;4;2000000;14286;4;5;4;3;2;2;3;4;3;3;3;Biasa
1;38;1;3;1;3;4;4;2;0;2;100;4;4;4;1500000;10714;4;4;4;3;4;3;4;3;3;3;4;Biasa
1;27;1;3;1;3;4;5;1;2;3;300;5;4;4;2800000;20000;5;4;5;5;4;4;5;4;5;4;5;Sangat Tidak Puas
2;23;1;3;1;3;4;4;2;0;2;100;4;4;4;2500000;17857;4;4;4;4;3;3;2;3;3;2;3;Sangat Tidak Puas
1;32;1;3;1;3;5;4;1;1;2;200;4;4;4;3000000;21429;4;4;5;4;4;4;5;5;4;4;5;Sangat Tidak Puas
1;33;1;3;1;4;3;4;1;2;3;300;3;3;3;3000000;21429;4;4;3;3;3;3;3;3;4;4;3;Biasa
1;47;1;5;1;4;4;5;2;3;5;250;3;3;4;3500000;25000;4;4;3;4;2;2;3;2;2;4;3;Sangat Tidak Puas
2;45;1;6;1;1;4;5;2;3;5;250;3;3;4;3500000;25000;4;4;3;4;4;4;3;3;3;3;4;Sangat Tidak Puas
